﻿IntName,Name,Might,Range,Description,Type,Effect1,Level1,Effect2,Level2,Effect3,Level3,Effect4,Level4,Effect5,Level5,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3,ExclusiveUser4
Iron Sword,Iron Sword,6,1,,Sword,,,,,,,,,,,,,,
Steel Sword,Steel Sword,8,1,,Sword,,,,,,,,,,,,,,
Silver Sword,Silver Sword,11,1,,Sword,,,,,,,,,,,,,,
Silver Sword+,Silver Sword+,15,1,,Sword,,,,,,,,,,,,,,
Silver Sword+Atk,Silver Sword+,18,1,,Sword,HPBoost,5,,,,,,,,,,,,
Silver Sword+Spd,Silver Sword+,16,1,,Sword,HPBoost,5,spdBoost,3,,,,,,,,,,
Silver Sword+Def,Silver Sword+,16,1,,Sword,HPBoost,5,defBoost,4,,,,,,,,,,
Silver Sword+Res,Silver Sword+,16,1,,Sword,HPBoost,5,resBoost,4,,,,,,,,,,
Armorslayer,Armorslayer,8,1,Effective against armored units.,Sword,effArmor,0,,,,,,,,,,,,
Armorslayer+,Armorslayer+,12,1,Effective against armored units.,Sword,effArmor,0,,,,,,,,,,,,
Brave Sword,Brave Sword,5,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",Sword,spdBoost,-5,BraveAW,1,,,,,,,,,,
Brave Sword+,Brave Sword+,8,1,"Inflicts Spd-5. If unit initiates combat, unit attacks twice.",Sword,spdBoost,-5,BraveAW,1,,,,,,,,,,
Ruby Sword,Ruby Sword,8,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",Sword,triangleAdeptW,3,,,,,,,,,,,,
Ruby Sword+,Ruby Sword+,12,1,"If unit has weapon-triangle advantage, boosts Atk by 20%. If unit has weapon-triangle disadvantage, reduces Atk by 20%.",Sword,triangleAdeptW,3,,,,,,,,,,,,
Killing Edge,Killing Edge,7,1,Accelerates Special trigger (cooldown count -1),Sword,slaying,1,,,,,,,,,,,,
Killing Edge+,Killing Edge+,11,1,Accelerates Special trigger (cooldown count -1),Sword,slaying,1,,,,,,,,,,,,
Wo Dao,Wo Dao,9,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,,,,,,,,,,,,
Wo Dao+,Wo Dao+,13,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,,,,,,,,,,,,
Wo Dao+Atk,Wo Dao+,16,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,HPBoost,5,,,,,,,,,,
Wo Dao+Spd,Wo Dao+,14,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,HPBoost,5,spdBoost,3,,,,,,,,
Wo Dao+Def,Wo Dao+,14,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,HPBoost,5,defBoost,4,,,,,,,,
Wo Dao+Res,Wo Dao+,14,1,Deals +10 damage when Special triggers.,Sword,spDamageAdd,10,HPBoost,5,resBoost,4,,,,,,,,
Zanbato,Zanbato,10,1,Effective against cavalry units.,Sword,effCav,1,,,,,,,,,,,,
Zanbato+,Zanbato+,14,1,Effective against cavalry units.,Sword,effCav,1,,,,,,,,,,,,
Zanbato+Eff,Zanbato+,14,1,"Effective against cavalry units. Neutralizes cavalry foes' bonuses (from skills like Fortify, Rally, etc.) during combat.",Sword,HPBoost,3,nullCavBonuses,0,,,,,,,,,,
Zanbato+Atk,Zanbato+,16,1,Effective against cavalry units.,Sword,HPBoost,5,,,,,,,,,,,,
Zanbato+Spd,Zanbato+,14,1,Effective against cavalry units.,Sword,HPBoost,5,spdBoost,3,,,,,,,,,,
Zanbato+Def,Zanbato+,14,1,Effective against cavalry units.,Sword,HPBoost,5,defBoost,4,,,,,,,,,,
Zanbato+Res,Zanbato+,14,1,Effective against cavalry units.,Sword,HPBoost,5,resBoost,4,,,,,,,,,,
Slaying Edge,Slaying Edge,10,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,,,,,,,,,,,,
Slaying Edge+,Slaying Edge+,14,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,,,,,,,,,,,,
Slaying Edge+Atk,Slaying Edge+,16,1,Accelerates Special trigger (cooldown count -1).,Sword,slaying,1,HPBoost,5,,,,,,,,,,
