Name,Description,Range,Effect1,Level1,Effect2,Level2,ExclusiveUser1,ExclusiveUser2,ExclusiveUser3
Heal,,,,,,,Staff,,
Mend,,,,,,,Staff,,
Reconcile,,,,,,,Staff,,
Recover,,,,,,,Staff,,
Recover+,,,,,,,Staff,,
Physic,,,,,,,Staff,,
Physic+,,,,,,,Staff,,
Martyr,,,,,,,Staff,,
Martyr+,,,,,,,Staff,,
Rehabilitate,,,,,,,Staff,,
Rehabilitate+,,,,,,,Staff,,
Restore,,,,,,,Staff,,
Restore+,,,,,,,Staff,,
Rescue,,,,,,,Staff,,
Rescue+,,,,,,,Staff,,
Return,,,,,,,Staff,,
Return+,,,,,,,Staff,,
Nudge,,,,,,,Staff,,
Nudge+,,,,,,,Staff,,
Rally Attack,,,,,,,None,,
Rally Speed,,,,,,,None,,
Rally Defense,,,,,,,None,,
Rally Resistance,,,,,,,None,,
Rally Atk/Spd,,,,,,,None,,
Rally Atk/Spd+,,,,,,,None,,
Rally Atk/Def,,,,,,,None,,
Rally Atk/Def+,,,,,,,None,,
Rally Atk/Res,,,,,,,None,,
Rally Atk/Res+,,,,,,,None,,
Rally Spd/Def,,,,,,,None,,
Rally Spd/Def+,,,,,,,None,,
Rally Spd/Res,,,,,,,None,,
Rally Spd/Res+,,,,,,,None,,
Rally Def/Res,,,,,,,None,,
Rally Def/Res+,,,,,,,None,,
Rally Up Atk,,,,,,,None,,
Rally Up Atk,,,,,,,None,,
Rally Up Spd,,,,,,,None,,
Rally Up Spd+,,,,,,,None,,
Rally Up Def,,,,,,,None,,
Rally Up Def+,,,,,,,None,,
Rally Up Res,,,,,,,None,,
Rally Up Res+,,,,,,,None,,
Draw Back,,,,,,,None,,
Reposition,,,,,,,None,,
Swap,,,,,,,None,,
Pivot,,,,,,,None,,
Shove,,,,,,,None,,
Smite,,,,,,,None,,
Dance,,,,,,,Dancers,,
Sing,,,,,,,Singers,,
Play,,,,,,,Nils,H!Nils,
Harsh Command,,,,,,,None,,
Harsh Command+,,,,,,,None,,
Ardent Sacrifice,,,,,,,None,,
Reciprocal Aid,,,,,,,None,,
Gold Serpent,,,,,,,Heiðr,,
Foul Play,,,,,,,Yuri,L!Yuri,
Gray Waves,,,,,,,L!Azura,DE!Azura,
Gray Waves II,,,,,,,L!Azura,,
Sacrifice,,,,,,,Micaiah,B!Micaiah,BR!Micaiah
Gentle Dream,,,,,,,Peony,NY!Peony,
Gentle Dream+,,,,,,,Peony,,
Future Vision,,,,,,,L!Lucina,V!Lucina,
Future Vision II,,,,,,,L!Lucina,,
Whimsical Dream,,,,,,,Mirabilis,WI!Mirabilis,
Whimsical Dream II,,,,,,,Mirabilis,,
Sweet Dreams,,,,,,,Plumeria,NY!Plumeria,
Frightful Dreams,,,,,,,Triandra,SP!Triandra,
To Change Fate!,,,,,,,L!Chrom,V!Chrom,
To Change Fate! II,,,,,,,L!Chrom,,
Call to Flame,,,,,,,FA!Ninian,,
A Fate Changed!,,,,,,,B!Chrom,,
Dragon's Dance,,,,,,,L!Ninian,,
Fate Unchanged…,,,,,i could… kill you...,,FA!Chrom,,
